epoch,train_loss,train_accuracy,test_loss,test_accuracy
1.0,6.346780826425553,0.29,6.893182327127457,0.266
2.0,5.474128781890869,0.313,5.624496995544433,0.2685
3.0,3.8847793534755706,0.4515,4.47030558142662,0.42
4.0,2.504000358200073,0.4345,3.5442909523010253,0.294
5.0,3.0395343852043153,0.469,4.240289504528046,0.346
6.0,2.9511665040969848,0.4605,4.405569904518128,0.336
7.0,4.537390089893341,0.4135,5.9722736844062805,0.3195
8.0,2.9189266649246215,0.494,3.9130207983016967,0.3795
9.0,3.3304656254291536,0.4605,5.034264634752273,0.315
10.0,2.2431484137535094,0.5505,3.6439288531303404,0.365
11.0,8.279071786308288,0.2955,9.170388200187682,0.261
12.0,3.820967167377472,0.492,5.5709275898933415,0.3465
13.0,1.455944670009613,0.638,3.381975425052643,0.389
14.0,4.158811735630035,0.503,6.223745035648346,0.384
15.0,2.309835282897949,0.5835,4.037949649429321,0.3955
16.0,2.410460833263397,0.5965,4.441976908397675,0.4155
17.0,2.641875386047363,0.528,4.652378201293946,0.3315
18.0,4.564981163406372,0.482,6.460358322525025,0.3615
19.0,1.5319937775611878,0.652,3.58104959230423,0.4225
20.0,1.8653259972572327,0.6185,3.861827562236786,0.3755
21.0,4.126303244209289,0.4805,6.394284296607971,0.2955
22.0,2.503558696746826,0.587,4.311387599945069,0.39
23.0,1.7071473793029786,0.602,4.070824404144287,0.35
24.0,0.9018635188102723,0.728,3.021598104095459,0.423
25.0,1.9527423723220825,0.6285,4.038753186035156,0.4305
26.0,1.4163866481781007,0.699,3.9304401121139527,0.411
27.0,1.8015019105911254,0.6465,3.8821002649307252,0.417
28.0,1.5942376937866212,0.666,3.6199588861465455,0.419
29.0,1.3890324926376343,0.6335,3.689473876953125,0.3545
30.0,2.2425536615371704,0.6115,5.031001995277405,0.3715
31.0,3.2860838609695433,0.5295,6.010524912452698,0.3645
32.0,1.0431711051940917,0.7235,3.5867056224822997,0.4345
33.0,1.637488321876526,0.6675,4.145597414588928,0.412
34.0,0.9600345092773438,0.736,3.4064711528778076,0.4115
35.0,1.8712132675170898,0.6615,4.289881180000306,0.458
36.0,1.8887264532089234,0.6495,4.615458588027954,0.426
37.0,1.084273787689209,0.7575,3.7696814262390137,0.434
38.0,1.1646892517089844,0.729,4.10665650062561,0.409
39.0,1.3942012678146363,0.733,4.125105012512207,0.404
40.0,1.6750591981887817,0.665,4.413913248825073,0.385
41.0,1.5876433448791505,0.674,4.377849300384521,0.3475
42.0,0.843935422706604,0.7825,3.3939718530654908,0.439
43.0,0.9384614137649536,0.7455,3.547543039703369,0.3665
44.0,1.4169609155654908,0.673,4.169005712509155,0.328
45.0,1.1139908826828002,0.7335,3.747131208229065,0.3935
46.0,1.3057681936264038,0.674,3.874480785751343,0.3805
47.0,1.4884591020584106,0.684,4.330808392906189,0.329
48.0,1.2055942832946778,0.732,4.27600978012085,0.3905
49.0,1.291527836418152,0.735,3.9281862665176392,0.397
50.0,1.365813739013672,0.7065,4.493139750671387,0.376
51.0,0.790052352809906,0.8085,3.8491721138000488,0.423
52.0,1.3106263008117676,0.715,4.098373683929443,0.3915
53.0,4.5644402397155766,0.5055,7.832062233734131,0.3225
54.0,0.804353280544281,0.777,3.8330174522399902,0.4125
55.0,0.6512456431388854,0.826,3.3544789447784424,0.427
56.0,1.2593115077972412,0.75,4.445490430450439,0.3845
57.0,0.9431739340782166,0.7515,3.864536393737793,0.3565
58.0,0.7084069050788879,0.819,3.5158085025787353,0.435
59.0,1.4198488384246826,0.7255,4.146843829727173,0.3875
60.0,1.312914414024353,0.7485,4.325922412490844,0.388
61.0,1.213407391166687,0.745,4.368396514511108,0.429
62.0,1.0766860733032226,0.76,4.06556241607666,0.4135
63.0,0.6355901887893677,0.8265,3.6844232013702394,0.3855
64.0,0.8136005342483521,0.7935,4.0217274368286136,0.3885
65.0,1.5884230659484864,0.746,4.930624537277222,0.379
66.0,1.1621710180282592,0.7695,4.119100105667115,0.4215
67.0,0.6685729906082153,0.8205,3.551646678161621,0.423
68.0,1.605427377319336,0.6935,4.990421168899537,0.326
69.0,0.5792386174201966,0.836,3.7370163440704345,0.4225
70.0,1.8210459987640382,0.685,5.535942677688599,0.368
71.0,0.43529208297729494,0.893,3.5611155807495116,0.4185
72.0,0.5407754320144653,0.844,3.593863977813721,0.4065
73.0,0.6512627498626709,0.8165,3.7880036727905275,0.362
74.0,0.5699313289642334,0.878,3.748211444091797,0.395
75.0,1.2446120105743408,0.763,4.428830417251587,0.393
76.0,2.587935079193115,0.6205,5.7839177738189695,0.322
77.0,1.6114718824386596,0.751,4.888873210525513,0.3705
78.0,0.4050531961917877,0.893,3.42020454788208,0.419
79.0,0.44708905582427977,0.884,3.659962157058716,0.415
80.0,0.5496255470275879,0.8425,3.6573468757629395,0.3935
