epoch,train_loss,train_accuracy,test_loss,test_accuracy
1.0,5.965884670448303,0.2335,6.978841289710998,0.17181818181818181
2.0,4.696536106562615,0.2335,8.97767309615612,0.14909090909090908
3.0,5.037116635847092,0.239,9.65117322306633,0.16090909090909092
4.0,5.187466419744491,0.2595,7.636028564977646,0.18272727272727274
5.0,4.669244316601754,0.304,10.083175686383248,0.18818181818181817
6.0,6.401955406808853,0.226,10.671780388498306,0.14181818181818182
7.0,4.2753116658687595,0.3105,9.34107275519371,0.15272727272727274
8.0,3.0270618880748748,0.4155,6.65667528758049,0.2081818181818182
9.0,3.581265209197998,0.3785,7.2670063953399655,0.17272727272727273
10.0,3.349678015565872,0.3515,7.7412986515522,0.1590909090909091
11.0,2.7737585039138795,0.441,7.2148409814834595,0.2009090909090909
12.0,3.9120324874877928,0.387,9.61438596496582,0.16818181818181818
13.0,5.41890166053772,0.3195,7.948736407852173,0.16818181818181818
14.0,4.4138656058311465,0.363,7.940920392513275,0.16363636363636364
15.0,2.861841807937622,0.469,6.940643201446533,0.20363636363636364
16.0,1.9282510303497316,0.5415,3.957519891166687,0.25545454545454543
17.0,2.287887573814392,0.4905,5.098662615394592,0.20727272727272728
18.0,4.275392334365844,0.404,10.64589814414978,0.19090909090909092
19.0,2.5660867098808287,0.4785,6.530111492061615,0.23
20.0,1.7730824462890624,0.51,5.739761304092407,0.22272727272727272
21.0,2.215063551902771,0.495,7.757042387962342,0.15818181818181817
22.0,5.0031493356704715,0.366,8.907604520606995,0.16545454545454547
23.0,1.545164999961853,0.583,5.525572953224182,0.19272727272727272
24.0,2.938502108192444,0.494,7.463667904472351,0.18363636363636363
25.0,2.9175891874313353,0.476,9.300332307624817,0.16454545454545455
26.0,3.4374162010192872,0.4475,7.489254122161865,0.21363636363636362
27.0,1.5345386632919311,0.591,5.749760664367676,0.2081818181818182
28.0,2.292192234802246,0.5105,5.608345761108398,0.23454545454545456
29.0,2.1035387641906738,0.5225,6.555943740081787,0.23363636363636364
30.0,1.75846559715271,0.563,7.153532454490661,0.18636363636363637
31.0,2.5397977333068846,0.518,8.313330839157105,0.1572727272727273
32.0,1.9950490007400512,0.5685,6.900037051200867,0.22272727272727272
33.0,1.6596934822082519,0.6145,5.749339821624756,0.21272727272727274
34.0,2.6354366359710695,0.5065,8.067178827285767,0.1890909090909091
35.0,1.6628541576385498,0.626,5.695768557739258,0.18363636363636363
36.0,0.9154697872161865,0.7275,5.0569133974075315,0.22818181818181818
37.0,1.2688855573654174,0.6585,5.16565329284668,0.21727272727272728
38.0,2.447239376449585,0.552,7.221627689743042,0.20272727272727273
39.0,1.3488173751831054,0.681,5.936806586265564,0.21
40.0,1.0918302965164184,0.7145,4.598555130958557,0.23727272727272727
41.0,2.310264492225647,0.55,6.84218516368866,0.1990909090909091
42.0,1.818407120513916,0.582,6.858723463821411,0.1618181818181818
43.0,1.3627049974441527,0.647,5.657011633300781,0.22090909090909092
44.0,1.5192531497955322,0.6285,5.604069009590149,0.18818181818181817
45.0,1.4395250802993775,0.686,4.673360539054871,0.22090909090909092
46.0,2.7837281719207763,0.5765,7.183319856262207,0.2081818181818182
47.0,4.166567630386353,0.421,8.69592077217102,0.16090909090909092
48.0,1.111854686164856,0.6965,5.789876355552673,0.21545454545454545
49.0,1.2713739873886107,0.6845,5.50302898902893,0.22272727272727272
50.0,0.8828556169509888,0.7645,5.105870329284668,0.23545454545454544
51.0,1.134591287612915,0.7095,5.765133327484131,0.21727272727272728
52.0,1.0714622058868408,0.7125,5.001622013092041,0.23
53.0,0.7650987223625183,0.7955,5.167031259918213,0.21636363636363637
54.0,0.8543169627189636,0.7635,4.951523853302002,0.21545454545454545
55.0,2.0963923614501954,0.646,7.19139620475769,0.18545454545454546
56.0,1.0721792806625365,0.743,5.445502840423584,0.21636363636363637
57.0,1.0056145313262939,0.754,5.635607970046997,0.20727272727272728
58.0,1.539915591621399,0.6425,7.530259758377075,0.2081818181818182
59.0,1.1422918941497802,0.7185,5.970899453353882,0.19272727272727272
60.0,2.936173812866211,0.588,7.382908241271973,0.18454545454545454
61.0,1.7761241846084594,0.652,6.184325283050537,0.19
62.0,2.660456079483032,0.5465,9.414642232894897,0.19545454545454546
63.0,0.8096382010459899,0.769,6.0010387886047365,0.20909090909090908
64.0,0.9658044992446899,0.7445,5.702628415679932,0.19636363636363635
65.0,0.713812493801117,0.803,5.583028518676758,0.22090909090909092
66.0,0.8611722700119019,0.7525,5.609650086593628,0.2190909090909091
67.0,0.8422797883987426,0.7745,6.012811895751953,0.22
68.0,1.0255354303359985,0.739,6.114207233810425,0.2109090909090909
69.0,0.7795927277565002,0.7995,5.142741357421875,0.22
70.0,0.8881700282096863,0.802,6.262037122726441,0.2081818181818182
71.0,0.8573468143463134,0.779,5.116714518737793,0.20636363636363636
72.0,2.17144083404541,0.646,6.416155809402466,0.22545454545454546
73.0,1.4869638891220094,0.6955,6.8234033794403075,0.21636363636363637
74.0,0.7781284990310668,0.7805,5.760286563873291,0.20636363636363636
75.0,0.6030215853691101,0.843,5.175003790283204,0.20545454545454545
76.0,0.8606407114982605,0.763,5.411837823104858,0.2190909090909091
77.0,1.5140571283340454,0.6795,7.2667501853942875,0.20909090909090908
78.0,1.1983395412445068,0.729,5.588841278839111,0.19363636363636363
79.0,0.9345153644561768,0.7525,6.614143021392822,0.17636363636363636
80.0,0.8293582503318787,0.791,5.688028544616699,0.21636363636363637
